schedule,sigma,mapped_sigma,delta,gain
stable5,1e-05,0.0003199999918160002,0.0003099999918160002,31.999999181600018
stable5,3e-05,0.0009599997790320441,0.0009299997790320441,31.99999263440147
stable5,0.0001,0.003199991816018114,0.003099991816018114,31.99991816018114
stable5,0.0003,0.009599779036401615,0.009299779036401615,31.999263454672054
stable5,0.001,0.03199181781108071,0.030991817811080707,31.991817811080708
stable5,0.003,0.09577947148821893,0.09277947148821893,31.926490496072976
stable5,0.01,0.3119940685789238,0.3019940685789238,31.19940685789238
stable5,0.03,0.7770089375494957,0.7470089375494957,25.900297918316525
stable5,0.1,1.000463693402968,0.9004636934029681,10.00463693402968
stable5,0.3,1.000000000001105,0.7000000000011048,3.3333333333370163
stable5,0.6,1.0,0.4,1.6666666666666667
stable5,1.0,1.0,0.0,1.0
fast5,1e-05,0.004848748325638223,0.004838748325638223,484.8748325638223
fast5,3e-05,0.014545895892828597,0.014515895892828597,484.86319642761987
fast5,0.0001,0.048473085473156714,0.04837308547315671,484.7308547315671
fast5,0.0003,0.14507068240256127,0.14477068240256127,483.5689413418709
fast5,0.001,0.47054395121553977,0.46954395121553977,470.5439512155398
fast5,0.003,1.1103573199206187,1.1073573199206188,370.1191066402062
fast5,0.01,0.6989170633216859,0.6889170633216859,69.8917063321686
fast5,0.03,1.122332028542849,1.092332028542849,37.41106761809497
fast5,0.1,0.7121200816580746,0.6121200816580746,7.121200816580746
fast5,0.3,1.0795922928997004,0.7795922928997003,3.5986409763323346
fast5,0.6,0.722876168617117,0.12287616861711703,1.2047936143618618
fast5,1.0,0.6964364094697522,-0.30356359053024784,0.6964364094697522
manual_T5_f3_s2,1e-05,0.0016347008082023924,0.0016247008082023924,163.47008082023922
manual_T5_f3_s2,3e-05,0.004904077017307129,0.00487407701730713,163.46923391023765
manual_T5_f3_s2,0.0001,0.016345960082008747,0.016245960082008747,163.45960082008745
manual_T5_f3_s2,0.0003,0.049012486421666314,0.04871248642166631,163.37495473888774
manual_T5_f3_s2,0.001,0.16241719469249677,0.16141719469249677,162.41719469249676
manual_T5_f3_s2,0.003,0.4631579242966085,0.4601579242966085,154.38597476553616
manual_T5_f3_s2,0.01,0.973051900355053,0.963051900355053,97.30519003550529
manual_T5_f3_s2,0.03,1.0000000030623863,0.9700000030623863,33.33333343541288
manual_T5_f3_s2,0.1,1.000311475997968,0.9003114759979681,10.003114759979681
manual_T5_f3_s2,0.3,1.00000007273426,0.7000000727342599,3.3333335757808666
manual_T5_f3_s2,0.6,1.0000077671206915,0.4000077671206915,1.6666796118678193
manual_T5_f3_s2,1.0,1.0002206382072016,0.00022063820720163996,1.0002206382072016
manual_T7_f4_s3,1e-05,0.011261106855847008,0.011251106855847008,1126.1106855847006
manual_T7_f4_s3,3e-05,0.03377481931421073,0.03374481931421073,1125.827310473691
manual_T7_f4_s3,0.0001,0.11226125053200917,0.11216125053200916,1122.6125053200917
manual_T7_f4_s3,0.0003,0.32850521806995764,0.3282052180699576,1095.0173935665255
manual_T7_f4_s3,0.001,0.8504399267563802,0.8494399267563802,850.4399267563803
manual_T7_f4_s3,0.003,1.0001904582657828,0.9971904582657828,333.3968194219276
manual_T7_f4_s3,0.01,1.0000000004030567,0.9900000004030567,100.00000004030566
manual_T7_f4_s3,0.03,1.00000009118502,0.97000009118502,33.333336372834
manual_T7_f4_s3,0.1,1.000000001582471,0.9000000015824711,10.00000001582471
manual_T7_f4_s3,0.3,1.0000000155405429,0.7000000155405428,3.333333385135143
manual_T7_f4_s3,0.6,1.0000000000000004,0.40000000000000047,1.6666666666666674
manual_T7_f4_s3,1.0,1.0000000002871499,2.871498594458899e-10,1.0000000002871499
manual_T8_f5_s3,1e-05,0.038775627633221045,0.03876562763322104,3877.5627633221043
manual_T8_f5_s3,3e-05,0.1159804729298691,0.1159504729298691,3866.01576432897
manual_T8_f5_s3,0.0001,0.3738730978357978,0.3737730978357978,3738.730978357978
manual_T8_f5_s3,0.0003,0.8642251380296981,0.8639251380296982,2880.750460098994
manual_T8_f5_s3,0.001,1.0000106836030913,0.9990106836030913,1000.0106836030913
manual_T8_f5_s3,0.003,1.0000000022678215,0.9970000022678215,333.3333340892738
