run_name,mode,orthogonalizer_type,orth_schedule_name,seed,lr_mul,T_ns,fast_steps,stable_steps,pe_T,pe_lower_bound,train_token_budget,benchmark_wall_clock_s,best_val_loss,buffer_post_semi_orth_error,final_val_loss,final_wall_time_s,g_post_semi_orth_error,g_pre_semi_orth_error,peak_allocated_mb,run_dir,status,val_auc_tokens,val_auc_wall
followup4090_20260608_confirm_train_fast5_lr0.5,train,fast,fast5,0,0.5,5,5,0,,,100000000,,4.781275749206543,,4.781275749206543,1093.0392740080133,,,8074,runs/followup4090_20260608_confirm_train_fast5_lr0.5,completed,5.463167491527287,5.4628649579514095
followup4090_20260608_confirm_train_fast5_lr2.0,train,fast,fast5,0,2.0,5,5,0,,,100000000,,4.858344078063965,,4.858344078063965,1096.1091480220202,,,8074,runs/followup4090_20260608_confirm_train_fast5_lr2.0,completed,5.40959087337356,5.409488120300892
followup4090_20260608_confirm_train_fast5_seed1,train,fast,fast5,1,1.0,5,5,0,,,100000000,,4.292106628417969,,4.292106628417969,1095.4252154669957,,,8074,runs/followup4090_20260608_confirm_train_fast5_seed1,completed,4.941901789132849,4.941455152425954
followup4090_20260608_confirm_train_fast5_seed2,train,fast,fast5,2,1.0,5,5,0,,,100000000,,4.292769432067871,,4.292769432067871,1094.6819454189972,,,8074,runs/followup4090_20260608_confirm_train_fast5_seed2,completed,4.943032721758208,4.942656223985668
followup4090_20260608_confirm_train_manual_T9_f4_s5_lr0.5,train,manual,manual_T9_f4_s5,0,0.5,9,4,5,,,100000000,,4.7107133865356445,,4.7107133865356445,1117.4696764809778,,,8074,runs/followup4090_20260608_confirm_train_manual_T9_f4_s5_lr0.5,completed,5.385494173131634,5.385220534022456
followup4090_20260608_confirm_train_manual_T9_f4_s5_lr2.0,train,manual,manual_T9_f4_s5,0,2.0,9,4,5,,,100000000,,5.228549957275391,,5.228549957275391,1118.7116150319926,,,8074,runs/followup4090_20260608_confirm_train_manual_T9_f4_s5_lr2.0,completed,5.720794526129522,5.72072255575823
followup4090_20260608_confirm_train_manual_T9_f4_s5_seed1,train,manual,manual_T9_f4_s5,1,1.0,9,4,5,,,100000000,,4.2998270988464355,,4.2998270988464355,1119.4642843739712,,,8074,runs/followup4090_20260608_confirm_train_manual_T9_f4_s5_seed1,completed,4.932719218523467,4.931894082240725
followup4090_20260608_confirm_train_manual_T9_f4_s5_seed2,train,manual,manual_T9_f4_s5,2,1.0,9,4,5,,,100000000,,4.296641826629639,,4.296641826629639,1118.1788306899834,,,8074,runs/followup4090_20260608_confirm_train_manual_T9_f4_s5_seed2,completed,4.93314517645472,4.932847488754095
followup4090_20260608_confirm_train_pe_T9_l3e-5_lr0.5,train,polar_express,pe_T9_l3e-5,0,0.5,9,,,9,3e-5,100000000,,4.700084686279297,,4.700084686279297,1117.03813038097,,,8074,runs/followup4090_20260608_confirm_train_pe_T9_l3e-5_lr0.5,completed,5.372421307097796,5.371825568277502
followup4090_20260608_confirm_train_pe_T9_l3e-5_lr2.0,train,polar_express,pe_T9_l3e-5,0,2.0,9,,,9,3e-5,100000000,,5.3025898933410645,,5.3025898933410645,1118.0364576299908,,,8074,runs/followup4090_20260608_confirm_train_pe_T9_l3e-5_lr2.0,completed,5.76369310606276,5.763603186644859
followup4090_20260608_confirm_train_pe_T9_l3e-5_seed1,train,polar_express,pe_T9_l3e-5,1,1.0,9,,,9,3e-5,100000000,,4.304651260375977,,4.304651260375977,1118.7566559779807,,,8074,runs/followup4090_20260608_confirm_train_pe_T9_l3e-5_seed1,completed,4.9337165543991555,4.933371371141444
followup4090_20260608_confirm_train_pe_T9_l3e-5_seed2,train,polar_express,pe_T9_l3e-5,2,1.0,9,,,9,3e-5,100000000,,4.298658847808838,,4.298658847808838,1118.846264049993,,,8074,runs/followup4090_20260608_confirm_train_pe_T9_l3e-5_seed2,completed,4.929287080943505,4.929192035257238
followup4090_20260608_primary_benchmark_adamw,benchmark,adamw,adamw,0,1.0,0,,,,,100000000,1039.7320622009574,5.415167331695557,,5.415167331695557,1037.975685307989,,,8380,runs/followup4090_20260608_primary_benchmark_adamw,completed,6.018262997848122,6.017880822832254
followup4090_20260608_primary_benchmark_fast5,benchmark,fast,fast5,0,1.0,5,5,0,,,100000000,1095.099323635979,4.283441543579102,,4.283441543579102,1093.3468388720066,,,8074,runs/followup4090_20260608_primary_benchmark_fast5,completed,4.934324552735172,4.934110348987653
followup4090_20260608_primary_benchmark_manual_T5_f3_s2,benchmark,manual,manual_T5_f3_s2,0,1.0,5,3,2,,,100000000,1099.4226120449603,4.316221714019775,,4.316221714019775,1097.672011017974,,,8074,runs/followup4090_20260608_primary_benchmark_manual_T5_f3_s2,completed,5.027355963925281,5.027137576793485
followup4090_20260608_primary_benchmark_manual_T9_f4_s5,benchmark,manual,manual_T9_f4_s5,0,1.0,9,4,5,,,100000000,1123.5278718250338,4.291531085968018,,4.291531085968018,1121.7778877750388,,,8074,runs/followup4090_20260608_primary_benchmark_manual_T9_f4_s5,completed,4.926594900797649,4.925120807895384
followup4090_20260608_primary_benchmark_pe_T5_l3e-5,benchmark,polar_express,pe_T5_l3e-5,0,1.0,5,,,5,3e-5,100000000,1098.1170568619855,4.310417652130127,,4.310417652130127,1096.3684951709583,,,8074,runs/followup4090_20260608_primary_benchmark_pe_T5_l3e-5,completed,4.943847919244524,4.944896924511999
followup4090_20260608_primary_benchmark_pe_T9_l3e-5,benchmark,polar_express,pe_T9_l3e-5,0,1.0,9,,,9,3e-5,100000000,1119.423267339007,4.29672384262085,,4.29672384262085,1117.6721312320442,,,8074,runs/followup4090_20260608_primary_benchmark_pe_T9_l3e-5,completed,4.92866582915167,4.928332947009496
followup4090_20260608_primary_benchmark_stable5,benchmark,vanilla,stable5,0,1.0,5,0,5,,,100000000,1094.8653661829885,4.53106164932251,,4.53106164932251,1093.1173589020036,,,8074,runs/followup4090_20260608_primary_benchmark_stable5,completed,5.321848611116729,5.321396404829203
followup4090_20260608_primary_spectral_fast5,spectral,fast,fast5,0,1.0,5,5,0,,,100000000,,4.284802436828613,3.4376931845777174,4.284802436828613,1366.2354092840105,0.6444167191369338,3.4914434516023505,8863,runs/followup4090_20260608_primary_spectral_fast5,completed,4.939998647454912,4.924699761817011
followup4090_20260608_primary_spectral_manual_T5_f3_s2,spectral,manual,manual_T5_f3_s2,0,1.0,5,3,2,,,100000000,,4.31784725189209,3.1098055786312924,4.31784725189209,1364.7932133649592,0.6865637011214393,3.1754624304038255,8863,runs/followup4090_20260608_primary_spectral_manual_T5_f3_s2,completed,5.029917439622892,5.0130046385898535
followup4090_20260608_primary_spectral_manual_T9_f4_s5,spectral,manual,manual_T9_f4_s5,0,1.0,9,4,5,,,100000000,,4.293559551239014,3.729708868801327,4.293559551239014,1388.32157478499,0.4431444185502677,3.7884692203948647,8863,runs/followup4090_20260608_primary_spectral_manual_T9_f4_s5,completed,4.927646109058835,4.912147157150033
followup4090_20260608_primary_spectral_pe_T5_l1e-3,spectral,polar_express,pe_T5_l1e-3,0,1.0,5,,,5,1e-3,100000000,,4.288835048675537,4.063129552937354,4.288835048675537,1367.421609527024,0.5451821552982227,4.132626300659377,8863,runs/followup4090_20260608_primary_spectral_pe_T5_l1e-3,completed,4.933553997930912,4.9147125405349605
followup4090_20260608_primary_spectral_pe_T5_l3e-5,spectral,polar_express,pe_T5_l3e-5,0,1.0,5,,,5,3e-5,100000000,,4.3084869384765625,3.3528377649958134,4.3084869384765625,1370.0240432660212,1.1023605807263863,3.3965214630143303,8863,runs/followup4090_20260608_primary_spectral_pe_T5_l3e-5,completed,4.9427334189893735,4.92695248147651
followup4090_20260608_primary_spectral_pe_T9_l3e-5,spectral,polar_express,pe_T9_l3e-5,0,1.0,9,,,9,3e-5,100000000,,4.296097278594971,3.831666235987525,4.296097278594971,1398.7222405089997,0.3780727512416981,3.9035612202649994,8863,runs/followup4090_20260608_primary_spectral_pe_T9_l3e-5,completed,4.930104920822614,4.912783843350871
